ID,IsPost,IsBoostedPost,Page/Group Name,Page Id,Page/Group List,Post URL,Comment URL,Commenter Profile URL,unicode,Google Translated,Date,Time,Post Type,machines,inputs,govt,markets,agriadvice,sustainability,development,farmers' achivements,farmers' struggles,live trading scenes,quiz/lucky draw/entertainment,ad,other,promotion,crtique,humor,anti-china,hatespeech,unverified info,scam,clickbait,Coding justification,Comment remarks,Post remarks,Link,Like,Love,Sad,Haha,Wow,Angry,Care,Share,Comment,Replies
p20210301_20210308_0000,TRUE,,Golden Paddy - Shwe Thee Nhan - ရွှေသီးနှံ,526272000911087,p.farming,https://www.facebook.com/shwetheenhan/posts/1604088976462712,,facebook.com/526272000911087,"ခရမ်း သီး စိုက်ပျိုး နည်း ===================================== စိုက်ပျိုးရေး နည်း ပညာ နဲ့ သတင်း ဗဟုသုတ တွေ အမြဲ ကြည့် ဖို့ ရွှေ သီးနှံ Page ကို Like ထား ပါ ။ ပျိုးထောင် ခြင်း ကောင်း စွာ ဆွေးမြေ့ သော ချေး များ ၊ သစ် ရွက် စိမ်း ၊ မြေ သြ ဇာ များ အသုံးပြု ၍ ( ၃ ) ပေ အကျယ် ၊ ( ၃၀ ) ပေ အရှည် ဘောင် များ ပြုလုပ် ပျိုးထောင် နိုင် ပါသည် ။ မျိုးစေ့ များ ကို တစ် တန်း နှင့် တစ် တန်း ( ၄ ) လက်မ ခန့် ခြား ၍ ပျိုး ရ ပါ မည် ။ အပင် များ ကြပ် မ နေ စေရန် လို သော ပျိုး ပင် များ နုတ် ပစ်ရ မည် ။ တစ် ဧက မျိုးစေ့ ( ၃၀၀ ) ဂရမ် နှုန်း ဖြင့် ပျိုး နိုင် ပါသည် ။ မြေ ပြုပြင် ခြင်း ---------- ပျိုးထောင် ချိန် တွင် စိုက်ခင်း ကို မြေ ပြုပြင် ထား ရ ပါ မည် ။ ထယ် ( ၃ ) စပ် မှ ( ၄ ) စပ် ထိုး ၍ ထွန်ရေး ညက် သည် အထိ ထွန် ပေး ရ ပါ မည် ။ မျိုး ကို လိုက် ၍ ပင် ကြား ၊ တန်း ကြား အကွာအဝေး ကွာခြား တတ် သော်လည်း အများအားဖြင့် တန်း ကြား ( ၃ ) ပေ မှ ( ၄ ) ပေ ပင် ကြား ( ၂ ) ပေ မှ ( ၃ ) ပေ ထား ၍ ရွေ့ ပြောင်း စိုက် စနစ် ဖြင့် စိုက်ပျိုး နိုင်သည် ။ စိုက်ပျိုး ခြင်း --------- ပျိုး ပင် များ အရွက် ( ၅ ) ရွက်ရ ရှိ လျှင် စိုက်ခင်း သို့ ရွေ့ စိုက် နိုင်သည် ။ သတ်မှတ် ထား သော တန်း ကြား ၊ ပင် ကြား ဆုံ ရာ ကျင်း များ တွင် ညနေခင်း ပျိုးထောင် မှ ပျိုး ပင် များ ကို နုတ်ယူ ၍ အမြစ် ဖြောင့်တန်း အောင် ချ စိုက် ရ ပါ မည် ။ စိုက် ချိန် တွင် အစို ဓာတ် လုံလောက် ရ ပါ မည် ။ ခြောက်သွေ့ ပူပြင်း သော ရာသီ တွင် ဖြစ် ၍ အပင် များ နေ ပး ဒဏ် မှ ကာကွယ် နိုင် ရန် သစ်ပင် သစ်ကိုင်း များ စိုက် ပေး ရ မည် ။ ပျိုး ပင် များ ကောင်း စွာ အမြစ် စွဲ လျှင် အ ရိမ် များ ဖယ် ပေး နိုင် ပါသည် ။ မြေ သြ ဇာ နှုန်းထား များ ---------------- နွား ချေး - ၁၀ တန် ယူရီးယား - ၅၀ ကီလို ( ၂ ) အိတ် ပို တက်ရှ် - ၅၀ ကီလို ( ၂ ) အိတ် မြေ ပြုပြင် စဉ်တွင် ယူရီးယား ( ၅၀ ) ကီလို ( ၁ ) အိတ် ၊ စိုက် ပြီး ( ၁ ) လ နှင့် ( ၂ ) လ ကြာ တွင် ယူရီးယား ( ၅၀ ) ကီလို ကို ထပ်မံ ထည့်သွင်း ပေး ရ မည် ။ Source; စိုက်ပျိုး သုတ ပစ္စယ =========================================="" သင် ဟာ သီးနှံ စိုက်ပျိုး ထုတ်လုပ် တဲ့ တောင်သူ ဆို ရင် ရွှေ သီးနှံ စိုက်ပျိုးရေး အကျိုးပြု အပ် ပလီ ကေး ရှင်း ကို အခမဲ့ ဒေါင်း လုဒ် ဆွဲ လိုက်ပါ ။ ရွှေ သီးနှံ အခမဲ့ မို ဘိုင်း အပ် ပလီ ကေး ရှင်း ကို ဒေါင်း လုဒ် ဆွဲခြင်း ဖြင့် ဒီလို မျိုး ပြီးပြည့်စုံ တဲ့ စိုက်ပျိုးရေး နည်း ပညာ ၊ ဗဟုသုတ များ ကို အခမဲ့ ဖတ်ရှု နိုင် မှာ ပါ ရှင့် ။ "" တိုက်ရိုက် အခမဲ့ ဒေါင်း လုဒ် ရယူ ရန် လင့်ခ် ; 👉 https://tinyurl.com/AP210302 အဆင် မ ပြေ ပါက ထပ်မံ ဒေါင်း လုဒ် ရယူ ရန် လင့်ခ် ; 👉 http://bit.ly/2NSbJnb ရွှေ သီးနှံ အွန် လိုင်း ဝက်ဘ် ဆိုဒ် ကို လည်း အခမဲ့ ဝင် ရောက် လေ့လာ နိုင် ပါ ပြီ ။ 🌏 http://www.goldenpaddy.com.mm/",-,2021-03-03,5:35:00,photo,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/shwetheenhan/photos/a.538534763018144/1604086486462961/?type=3,3441,18,0,1,1,0,2,1692,31,
c20210301_20210308_0001,FALSE,,,,p.farming,https://www.facebook.com/shwetheenhan/posts/1604088976462712,https://www.exportcomments.com/done/15212678-6019-40ec-b573-91c276eb40cf/preview/1604914123046864,https://www.facebook.com/profile.php?id=100041640013843,တ ပိုင် တ နိုင် မိသားစု ဝင်ငွေ လေး ရ လို့ အဆင်ပြေ ပါ မယ်,It would be convenient to have a small family income,2021-03-04,7:03:28,,,,,,,,,,,,,,,,,,,,,,,,,,-,1,,,,,,,,,0
c20210301_20210308_0002,FALSE,,,,p.farming,https://www.facebook.com/shwetheenhan/posts/1604088976462712,https://www.exportcomments.com/done/15212678-6019-40ec-b573-91c276eb40cf/preview/1606299786241631,https://www.facebook.com/profile.php?id=100035406999332,ကွမ် စိုက် ပျို နည် လေတင် ပေပါ အုံ,Guangxi is a young plant,2021-03-06,3:10:18,,,,,,,,,,,,,,,,,,,,,,,,,,-,1,,,,,,,,,0
c20210301_20210308_0004,FALSE,,,,p.farming,https://www.facebook.com/shwetheenhan/posts/1604088976462712,https://www.exportcomments.com/done/15212678-6019-40ec-b573-91c276eb40cf/preview/1606642779540665,https://www.facebook.com/profile.php?id=100025304182163,အပွင့် ပွင့် p အသီး မ သီး တာ ဘာ လို့ လဲ,Flower p Why does it not bear fruit?,2021-03-06,15:18:41,,,,,,,,,,,,,,,,,,,,,,,,,,-,1,,,,,,,,,0
p20210301_20210308_0005,TRUE,,Golden Paddy - Shwe Thee Nhan - ရွှေသီးနှံ,526272000911087,p.farming,https://www.facebook.com/shwetheenhan/posts/1604121199792823,,facebook.com/526272000911087,"တိ ရိစ္ဆာန် စွန့်ပစ် ပစ္စည်း နွား ချေး ကို အကျိုး ရှိ အောင် ဘယ်လို အသုံးပြု မ လဲ ================================================== စိုက်ပျိုးရေး နည်း ပညာ နဲ့ သတင်း ဗဟုသုတ တွေ အမြဲ ကြည့် ဖို့ ရွှေ သီးနှံ Page ကို Like ထား ပါ ။ နွား ချေး စနစ်တကျ သိုလှောင် နည်း အကျယ် ( ၁၁ ) ပေ ပတ်လည် ရှိ သည့် ရေ မ ဝပ် သည့် မြေ နေရာ တစ် ခု ရွေး ပါ ။ ယင်း ပတ်ပတ်လည် တွင် ရေ မ ဝပ် စေရန် ( ၆ ) လက်မ အနက် ( ၆ ) လက်မ အကျယ် မြောင်း ပတ်ပတ်လည် တူး ပါ ။ အပူ ပိုင်း ဒေသ တွင် ၂ ပေ × ၁၀ ပေ × ၁၀ ပေ ကျင်း တိမ် တူး ၍ သုံး နိုင် ပါသည် ။ ယင်း နေရာ အား နေ ဒဏ် မိုး ဒဏ် မှ ကာကွယ် ရန် အတွက် ယာယီ အမိုး ငယ် တစ် ခု ပြုလုပ် ပေး ပါ ။ မို များ လွန်း ပါက အရိပ်ကောင်း သော သစ်ပင် ရိပ် အောက် တွင် ပြုလုပ် နိုင် ပါသည် ။ နွား များ သိပ် သည့် တင်းကုပ် မြေပြင် ပေါ် တွင် သစ် ရွက် ခြောက် ၊ အမှိုက် ၊ ကောက်ရိုး ၊ ရိုးပြတ် ၊ မြက်ခြောက် ၊ ကောက် မှော် ရ ရာ တို့ ကို အခင်း အ ဖြင့် ခင်း ထား ၍ ည ဖက် တွင် နွား များ ကို သိပ် ပေး ပါ ။ တင်းကုပ် ရှင်းလင်း စဉ် နွား များ မှ စွန့်ပစ် သော မစင် ၊ ကျင်ငယ် ရည် နှင့် ရောနှော နေ သော အမှိုက် များ နှင့် မြေသား အနည်းငယ် ကို စုဆောင်း ရောနှော ပါ ။ ယင်း အမှိုက် များ ကို သိုလ် လှောင် သည့် မြေ နေရာ ပေါ် တွင် ( ၆ ) လက်မ ထု ခန့် ရှိ အလွှာ အ ဖြင့် ဖြန့် ပေး ပါ ။ တီ စူ ပါ ၊ ကျောက် မှုန့် ၊ လချေး မှုန့် ရ ရာ ကို နို့ဆီ ဗူး တစ် ဘူး ခန့် ပါး ပါး ဖြူး ထည့် နိုင် ပါက ပို ကောင်းမွန် ပါသည် ။ ဤ နည်း ဖြင့် နွား ချေး များ ကို နှစ်ပတ်လည် စုဆောင်း သွား နိုင် ပါသည် ။ အကယ်၍ နွား ချေး ပုံ ထုထည် ကြီးမား လာ ပါက ဘေး ပတ်လည် မှ ယာယီ အကာအရံ များ ပြုလုပ် ရန်လို အပ် ပါသည် ။ အစို ဓါတ် နှင့် အာဟာရ ဓါတ် များ အငွေ့ ပြန် ပျောက်ဆုံး မှု လျော့နည်း စေရန် ၊ အပေါ် ဆုံး အလွှာ ပေါ် တွင် အမှိုက် သစ် ရွက် ခြောက် ၊ ထန်း ရွက် ခြောက် ၊ ကျူ ဖြာ ၊ ဝါးထရံ စသည် တို့ ဖြင့် အုပ် ထား ပေး ပါ ။ သုံးစွဲ နည်းစနစ် တ ကျ သိုလှောင် ထား သော နွား ချေး ကို အသုံး မ ပြု မီ အထက်အောက် သမ အောင် ရော မွှေ ပါ ။ တစ် ဧက လျှင် နွား လှည်း ( ၅ - ၁၀ ) စီ ခန့် မြေ ပြုပြင် ချိန် တွင် ထည့်သွင်း သုံးစွဲ ၍ မည် သည့် သီးနှံ မဆို စိုက်ပျိုး နိုင် ပါသည် ။ နွား ချေး များ ထည့် ပြီး ပါက ချက်ချင်း မြေ ဖြင့် ဖုံးအုပ် ပေး ထား ရန်လို အပ် ပါသည် ။ တခြား သော ဓါတ် မြေ သြ ဇာ များ နှင့်အတူ ရောနှော ၍ လည်း ထည့်သွင်း နိုင် ပါသည် ။ ကောင်း စွာ ဆွေးမြေ့ ကြေ ပျက် သော နွား ချေး များ ကို သာ ထည့်သွင်း သုံးစွဲ ပါ ။ အာနိသင် နှင့် အကျိုး သက်ရောက် မှု စနစ်တကျ သိုလှောင် ထား သော နွား ချေး ဆွေး မြေ သြ ဇာ တွင် အောက် ပါ ဓါတ် ပစ္စည်း များ ပါဝင် ပါသည် ။ အပင် အ ဟာ ရ ပါဝင် မှု ရာခိုင်နှုန်း နိုက် ထ ရို ဂျင် ၁ . ၄ % ဖော့ စ ပ ရပ် ၂ . ၁ % ပိုတက် စီ ယမ် ၁ . ၃ % ကယ် စီ ယမ် ၂ . ၆ % မဂ္ဂ နီ စီ ယမ် ဝ . ၂ % ဆာ လ ဖာ ၁ . ၆ % အော် ဂဲ နစ် ကာ ဘွန် ၁၉ . ၇ % အကျိုးကျေးဇူး အပင် အဓိက အာဟာရ ဓါတ် များ အပြင် အော် ဂဲ နစ် ကာ ဘွန် ပါဝင် မှု ကြောင့် မြေဆီလွှာ ၏ ရုပ် ဂုဏ်သတ္တိ ကို ပိုမို တိုးတက် ကောင်းမွန် စေ ၍ အောက် ပါ အကျိုးကျေးဇူး များ ကို ရရှိ နိုင် မည် ဖြစ်သည် ။ - စေး သော မြေ ကို ပွ လာ စေ ခြင်း ။ - သဲ ဆန် သော မြေ ကို စေး ထန် လာ စေ ခြင်း ။ - အစို ဓာတ် ထိန်းသိမ်း မှု ကောင်း ခြင်း ။ - လေဝင်လေထွက်ကောင်း ခြင်း ။ - အပူ အအေး မျှတ စေ ခြင်း ။ - အာဟာရ ဓာတ် များ ကို ကာလ ရှည်ကြာ စွာ တစိမ့်စိမ့် ထုတ်ပေး ခြင်း တို့ ဖြစ် ပါသည် ။ Sourceby– လယ် / ဆည် ==========================================="" သင် ဟာ သီးနှံ စိုက်ပျိုး ထုတ်လုပ် တဲ့ တောင်သူ ဆို ရင် ရွှေ သီးနှံ စိုက်ပျိုးရေး အကျိုးပြု အပ် ပလီ ကေး ရှင်း ကို အခမဲ့ ဒေါင်း လုဒ် ဆွဲ လိုက်ပါ ။ ရွှေ သီးနှံ အခမဲ့ မို ဘိုင်း အပ် ပလီ ကေး ရှင်း ကို ဒေါင်း လုဒ် ဆွဲခြင်း ဖြင့် ဒီလို မျိုး ပြီးပြည့်စုံ တဲ့ စိုက်ပျိုးရေး နည်း ပညာ ၊ ဗဟုသုတ များ ကို အခမဲ့ ဖတ်ရှု နိုင် မှာ ပါ ရှင့် ။ "" တိုက်ရိုက် အခမဲ့ ဒေါင်း လုဒ် ရယူ ရန် လင့်ခ် ; 👉 https://tinyurl.com/EP210304 အဆင် မ ပြေ ပါက ထပ်မံ ဒေါင်း လုဒ် ရယူ ရန် လင့်ခ် ; 👉 https://bit.ly/3uNaiXZcom.impactterra.goldenpaddy.release&referrer=utm_source%3DFacebook%26utm_campaign%3DEP210304 ရွှေ သီးနှံ အွန် လိုင်း ဝက်ဘ် ဆိုဒ် ကို လည်း အခမဲ့ ဝင် ရောက် လေ့လာ နိုင် ပါ ပြီ ။ 🌏 http://www.goldenpaddy.com.mm/",-,2021-03-04,3:38:00,photo,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/shwetheenhan/photos/a.538534763018144/1604124826459127/?type=3,2115,13,0,1,1,0,2,1453,7,
c20210301_20210308_0006,FALSE,,,,p.farming,https://www.facebook.com/shwetheenhan/posts/1604121199792823,https://www.exportcomments.com/done/708a7f9b-3e83-42a3-99ae-276cc312d203/preview/1604123509792592,https://www.facebook.com/profile.php?id=526272000911087, သင် ဟာ သီးနှံ စိုက်ပျိုး ထုတ်လုပ် တဲ့ တောင်သူ ဆို ရင် ရွှေ သီးနှံ စိုက်ပျိုးရေး အကျိုးပြု အပ် ပလီ ကေး ရှင်း ကို အခမဲ့ ဒေါင်း လုဒ် ဆွဲ လိုက်ပါ ။ ရွှေ သီးနှံ အခမဲ့ မို ဘိုင်း အပ် ပလီ ကေး ရှင်း ကို ဒေါင်း လုဒ် ဆွဲခြင်း ဖြင့် ဒီလို မျိုး ပြီးပြည့်စုံ တဲ့ စိုက်ပျိုးရေး နည်း ပညာ ၊ ဗဟုသုတ များ ကို အခမဲ့ ဖတ်ရှု နိုင် မှာ ပါ ရှင့် ။  တိုက်ရိုက် အခမဲ့ ဒေါင်း လုဒ် ရယူ ရန် လင့်ခ် ; 👉 https://tinyurl.com/EP210304 အဆင် မ ပြေ ပါက ထပ်မံ ဒေါင်း လုဒ် ရယူ ရန် လင့်ခ် ; 👉 https://bit.ly/3uNaiXZ,"If you are a crop farmer, download the free application of Golden Crops for free. You can read it for free. Direct download link for free; 👉 https://tinyurl.com/EP210304 Link to download again if not working; 👉 https://bit.ly/3uNaiXZ",2021-03-03,5:05:58,,,,,,,,,,,,,,,,,,,,,,,,,,-,0,,,,,,,,,0
c20210301_20210308_0007,FALSE,,,,p.farming,https://www.facebook.com/shwetheenhan/posts/1604121199792823,https://www.exportcomments.com/done/708a7f9b-3e83-42a3-99ae-276cc312d203/preview/1605612496310360,https://www.facebook.com/profile.php?id=100012473225630,ငြုပ် ပင် အပွင့် ဘဲ ပွင့် အသီး မ တင် ဘာ လုပ် ရ မ လည်း အိမ် မှာ အိုး နဲ့ စိုက် ပန်း ငြုတ် ပွ က သီး ပါ တယ် ငြုတ် သေး တောင့် တွေ က မ သီး ပါ,What can you do if you do not have a fig tree or a flower?,2021-03-05,3:31:24,,,,,,,,,,,,,,,,,,,,,,,,,,-,1,,,,,,,,,0
c20210301_20210308_0008,FALSE,,,,p.farming,https://www.facebook.com/shwetheenhan/posts/1604121199792823,https://www.exportcomments.com/done/708a7f9b-3e83-42a3-99ae-276cc312d203/preview/1605716156299994,https://www.facebook.com/profile.php?id=100013276208182,မ အ လမင်း အောင် လှိုင် ကို ကျွေး လုက်,Feed Ma Ala Min Aung Hlaing,2021-03-05,7:39:23,,,,,,,,,,,,,,,,,,,,,,,,,,-,0,,,,,,,,,0
c20210301_20210308_0009,FALSE,,,,p.farming,https://www.facebook.com/shwetheenhan/posts/1604121199792823,https://www.exportcomments.com/done/708a7f9b-3e83-42a3-99ae-276cc312d203/preview/1606305059574437,https://www.facebook.com/profile.php?id=100045722049886,များ များ တင် ပေး ပါ,Post more,2021-03-06,3:23:28,,,,,,,,,,,,,,,,,,,,,,,,,,-,0,,,,,,,,,0
p20210301_20210308_0010,TRUE,,Golden Paddy - Shwe Thee Nhan - ရွှေသီးနှံ,526272000911087,p.farming,https://www.facebook.com/shwetheenhan/posts/1604860569718886,,facebook.com/526272000911087,"ကြက်သွန်နီ အပင် ပြုစု ခြင်း နှင့် ကျရောက် တတ် သော ပိုးမွှား ရောဂါ များ ================================================= စိုက်ပျိုးရေး နည်း ပညာ နဲ့ သတင်း ဗဟုသုတ တွေ အမြဲ ကြည့် ဖို့ ရွှေ သီးနှံ Page ကို Like ထား ပါ ။ အပင် ပြုစု ခြင်း အောင်မြင် ဖြစ်ထွန်း စွာ စိုက်ပျိုး နိုင် ရေး အတွက် ပေါင်း နှိမ်နင်း ရန်လို ပါသည် ။ ကြက်သွန် အမြစ် သည် မြေ အပေါ်ယံ တွင် သာ ရှိ ၍ သံစည် ပတ် ပြား ကို ကွေး ၍ လက်ကိုင် တပ် ထား သော ခြစ် ဖြင့် ပေါင်း ရှင်း ကြ သည် ။ အရွက် များ စတင် ကျ ချိန် တွင် ပေါင်း ရှင်း ရန် မ လိုအပ် တော့ ပါ ။ မြေ အလွန် ကြပ် နေ ပါက နွား ချေး ၊ မြေဆွေး ထပ်မံ ထည့် ပေး ပါ ။ ကြက်သွန် ပန်းဖူး များ ကို အပတ်စဉ် ချိုး ပေး ပါ ။ ရေပေး သွင်း ခြင်း ကြက်သွန်ခင်း သည်မ စို လွန်း ၊ မ ခြောက် လွန်း သော အခြေအနေ တွင် အမြဲ ရှိ နေ ရန်လို သည် ။ ကြက်သွန်နီ ရေငတ် ပါက အရွက် များ ပြာ မှိုင်း ပြီး နွမ်းခွေ လာ သည် ။ မြေ အလွန် ခြောက် အောင် ထား ပြီး ရေ သွင်း က ကြက်သွန် အခွံ အက် ကွဲ တတ် သည် ။ ပုံမှန် အားဖြင့် တစ်ပတ် လျှင် တစ် ကြိမ် ရေ သွင်း ရ သည် ။ ရာသီ ပူပြင်း ပါက ( ၄ - ၅ ) ရက်ခြား တစ် ကြိမ် ရေ သွင်း ရန်လို သည် ။ အရွက် များ စတင် ကျ လာ ချိန် တွင် ရေ သွင်း ခြင်း ကို ရပ် လိုက် ရ မည် ။ မြေ အစို ဓာတ် အနည်း အများ ပေါ် မူတည် ပြီး ရေ သွင်း ချိန် ( ၅ ) ကြိမ် မှ ( ၈ ) ကြိမ် ထိ ရှိ ပါ မည် ။ ပိုးမွှား ရောဂါ ( က ) လှေး ပိုး နှင့် ပျပိုး ။ ပင်လုံး ပြန့် အာနိသင် ရှိ သော ဒိုင် ယာ ဇီနွန် ပါ ရာသီ ယွန် စသည့် ပိုးသတ်ဆေး များ ဖြင့် ကာကွယ် နှမ် နင်း ပါ ။ ( ခ ) ခါး ရိ ရောဂါ ။ ပျိုးခင်း တွင် ဖြစ် သော ခါး ရိ ရောဂါ ကို ကာကွယ် ရန် ပျိုးခင်း တွင် အစို ဓာတ် လွန်ကဲ ခြင်း မရှိ စေရန် နှင့် ပျိုးခင်း တွင် အစို ဓာတ် လွန်ကဲ ခြင်း မရှိ စေရန် နှင့် ပျိုး ပင် များ ထူး တပ် စွာ ပေါက် ခြင်း မရှိ စေရန် ဆောင်ရွက် ပါ ။ မျိုးစေ့ များ အား ဟို မိုင်း ( ၅ ) ဂရမ် ထည့် ဖျော် ထား သော ၊ ရေ ( ၁၀၀၀ ) လီတာ တွင် စိမ် ပြီး လေသလပ် ခံ ၍ စိုက် ပါ ။ ပျိုးခင်း အား ဖော် မင် ဒီ ဟိုက် ( ၀ . ၅ ) ပေါင် ကို ရေ ( ၄ ) ဂါ လံ နှင့် ရော ၍ မြေ အကျယ် ( ၃၀၀ ) စတုရန်း ပေ အတွက် ဆေးရည် ( ၄၀ – ၄၈ ) ပေါင် နှုန်း ပက်ဖျန်း ပြီး မှ စိုက် ပါ ။ ဇိ နက် ၊ ပက် ရီ နော့ ဆေး ( ၂ – ၃ ) ပေါင် ကို ရေ ( ၁၀၀ ) ဂါလန် နှင့် ဖော် ၍ ပင် ခြေရင်း ပိုင်း များ ကို ပက်ဖျန်း ပေး ပါ ။ တောက်တဲ့ မြီ ရောဂါ ။ စိုက်ခင်း တွင် ဆိုးဝါး စွာ ကျရောက် တတ် သည် ။ မိုးအုံ့ ပြီး လေထု တွင် စိုထိုင်းဆ များ ပါက ရောဂါဖြစ် ပွား မှု မြန် ပါသည် ။ ဒိုင် ကို နေးလ် ၊ ဒိုင် သိန်း ၊ ရီ ဒို မေးလ် ၊ မှို သတ် ဆေး များ ကို ရေ ( ၄ ) ဂါလန် တွင် ( ၃၀ ) ဂရမ် နှုန်း ဖြင့် ဖျော်စပ် ပြီး ( ၁ ) ဧက လျှင် ဆေး ( ၂ - ၃ ) ကီလို နှုန်း ဖြင့် အပတ်စဉ် ကာကွယ် ရန်လို အပ် ပါသည် ။ အထွက် နှုန်း ပျမ်းမျှ တစ် ဧက လျှင် ပိဿာ ( ၃၀၀၀ – ၅၀၀၀ ) ထိ ထွက် နိုင်သည် ။ ရိတ်သိမ်း ခြင်း အမြိတ် စား အတွက် စိုက် ပါက ကြက်သွန် ဥငယ် စဉ် ခဲတံ လုံး ခန့် အရွယ်ရှိ လျှင် လက် ဖြင့် ဆွဲ နုတ်ယူ နိုင်သည် ။ တစ်နည်းအားဖြင့် ကြက်သွန် မိတ် ( ၁ ) ပိ ဿ လျှင် အရွက် ( ၃၅ ) ကျပ်သား ၊ ဥ အလေးချိန် ( ၆၅ ) ကျပ်သား ရှိ ပါက ကြက်သွန် မိတ် အဖြစ် နုတ် ရောင်း နိုင်သည် ။ ဥ ကြီး အတွက် ရိတ်သိမ်း ပါက အရွက် ၏ ( ၁၅ – ၁၆ ) ရာခိုင်နှုန်း ခြောက် လာ လျှင် လက် ဖြင့် ဆွဲ နုတ် ရိတ်သိမ်း နိုင်သည် ။ အရွက် များ အားလုံး ခြောက် မှ ရိတ်သိမ်း က ကြက်သွန် ဥ သည် အမြစ် ထွက် လာ ၍ လက် ဖြင် နုတ်ယူ ရန် မလွယ် ကူ တော့ ချေ ။ အမြစ် များ တာ ကြောင့် ရောင်း တန်း လည်း မလှ ပေ ။ ဥ များ ကို နုတ် ပြီးလျှင် ပြီ ချင်း အရွက် ကို မ ဖြတ် ဘဲ တစ်ပတ် ခန့် အရိပ် အောက် တွင် ထား ပြီး မှ ( ၂ ) လက်မ ချန် ပြီး ဖြတ် ရ မည် ။ Source; လယ် / ဆည် ================================================="" သင် ဟာ သီးနှံ စိုက်ပျိုး ထုတ်လုပ် တဲ့ တောင်သူ ဆို ရင် ရွှေ သီးနှံ စိုက်ပျိုးရေး အကျိုးပြု အပ် ပလီ ကေး ရှင်း ကို အခမဲ့ ဒေါင်း လုဒ် ဆွဲ လိုက်ပါ ။ ရွှေ သီးနှံ အခမဲ့ မို ဘိုင်း အပ် ပလီ ကေး ရှင်း ကို ဒေါင်း လုဒ် ဆွဲခြင်း ဖြင့် ဒီလို မျိုး ပြီးပြည့်စုံ တဲ့ စိုက်ပျိုးရေး နည်း ပညာ ၊ ဗဟုသုတ များ ကို အခမဲ့ ဖတ်ရှု နိုင် မှာ ပါ ရှင့် ။ "" တိုက်ရိုက် အခမဲ့ ဒေါင်း လုဒ် ရယူ ရန် လင့်ခ် ; 👉 https://tinyurl.com/AP210305 အဆင် မ ပြေ ပါက ထပ်မံ ဒေါင်း လုဒ် ရယူ ရန် လင့်ခ် ; 👉 http://bit.ly/3sTxiTv ရွှေ သီးနှံ အွန် လိုင်း ဝက်ဘ် ဆိုဒ် ကို လည်း အခမဲ့ ဝင် ရောက် လေ့လာ နိုင် ပါ ပြီ ။ 🌏 http://www.goldenpaddy.com.mm/",-,2021-03-05,5:35:00,photo,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/shwetheenhan/photos/a.538534763018144/1604860379718905/?type=3,1956,4,0,2,1,0,2,1026,21,
