ID,Group Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,URL,Message,unicode,Translation,remark,cdm
p20210201_20210207_0100,ထြန္စက္သမားမ်ား ဆံုစည္းရာ,,615264345684951,75262,2021-02-07 18:37:19 MMT,Link,789,26,131,11,0,8,0,0,2,https://www.facebook.com/groups/615264345684951/permalink/845425766002140,,,#VALUE!,,
p20210201_20210207_0101,သစ္​ခြမ်ိဳးစံုႏွင္​့ပန္​းခ်စ္​သူတို႔​ေပ်ာ္​စံရာ,,2312857865628071,64056,2021-02-02 08:10:30 MMT,Photo,1809,117,105,178,30,1,1,0,15,https://www.facebook.com/groups/2312857865628071/permalink/2899616693618849,ပန်းရနံ့ပဲသင်းပါရစေ ရင်ထဲမှာတော့ဘယ်သူမှပန်းပွင့်မနေဘူး😤 ဒူးရင်းသီး တွေသီးနေတာ စိတ်ပြေအောင်အပင်စိုက်ပြီး ခေါင်းဆောင်တွေစကားနားထောင်ပါ😞😞 Photo crd,ပန်းရနံ့ပဲသင်းပါရစေ ရင်ထဲမှာတော့ဘယ်သူမှပန်းပွင့်မနေဘူး😤 ဒူးရင်းသီး တွေသီးနေတာ စိတ်ပြေအောင်အပင်စိုက်ပြီး ခေါင်းဆောင်တွေစကားနားထောင်ပါ😞😞 Photo crd,"In the meantime, if you don't have a flower, no one is in flower 😤",,
p20210201_20210207_0102,စုိက္ပ်ိဳးေရးအသိပညာ မွ်ေဝေရး,,198033530405948,97306,2021-02-07 14:52:58 MMT,Photo,1882,16,277,167,4,2,1,0,8,https://www.facebook.com/groups/198033530405948/permalink/1517981748411113,သိန်းနဲ့ချီပြီး ဆန္ဒပြတဲ့အထဲ ကိုယ်မပါရပေမယ့် online တိုက်ခိုက်ရေး လုပ်နေပါတယ် fighting,သိန်းနဲ့ချီပြီး ဆန္ဒပြတဲ့အထဲ ကိုယ်မပါရပေမယ့် online တိုက်ခိုက်ရေး လုပ်နေပါတယ် fighting,"There are no one in the protesting protest, but it is working on the online combat",,
p20210201_20210207_0103,စိုက္ပ်ိ  ုးေရးနည္းပညာဂရု,,1454325407964179,29059,2021-02-07 15:46:07 MMT,Status,549,8,105,11,0,2,1,0,4,https://www.facebook.com/groups/1454325407964179/permalink/3835879509808745,,,#VALUE!,,
p20210201_20210207_0104,သစ္​ခြၿမိဳ႕​ေတာ္​,,1680174498721064,57364,2021-02-04 21:51:39 MMT,Photo,1453,17,161,107,1,1,0,0,8,https://www.facebook.com/groups/1680174498721064/permalink/4957656107639537,,,#VALUE!,content not available,
p20210201_20210207_0105,စိုက်ပျိုးရေးဆိုင်ရာ အဖြာဖြာ,,513448228776468,447186,2021-02-01 12:23:25 MMT,Link,4284,105,621,86,1,59,6,4,10,https://www.facebook.com/groups/513448228776468/permalink/3684382311683028,ဒေါ်အောင်ဆန်းစုကြည် အပါအဝင် ထိန်းသိမ်းထားသည့် အစိုးရအဖွဲ့ တာဝန်ရှိသူများကို ပြန်လွှတ်ပေးရန် အမေရိကန်ပြည်ထောင်စုက တောင်းဆို,ဒေါ်အောင်ဆန်းစုကြည် အပါအဝင် ထိန်းသိမ်းထားသည့် အစိုးရအဖွဲ့ တာဝန်ရှိသူများကို ပြန်လွှတ်ပေးရန် အမေရိကန်ပြည်ထောင်စုက တောင်းဆို,"The United States demands release of government officials detained, including Aung San Suu Kyi",,
p20210201_20210207_0106,စိုက်ပျိုးရေးဆိုင်ရာ အဖြာဖြာ,,513448228776468,447670,2021-02-03 19:11:25 MMT,Link,3943,84,864,80,3,40,0,0,3,https://www.facebook.com/groups/513448228776468/permalink/3690077701113489,ဒီမိုကရေစီ အစိုးရကို စစ်တပ်က အာဏာပြန်လွှဲပေးဖို့ ကမ္ဘာ့အင်အားကြီး (၇) နိုင်ငံက ထုတ်ပြန်လိုက်ပြီ,ဒီမိုကရေစီ အစိုးရကို စစ်တပ်က အာဏာပြန်လွှဲပေးဖို့ ကမ္ဘာ့အင်အားကြီး (၇) နိုင်ငံက ထုတ်ပြန်လိုက်ပြီ,The 7th largest force has issued the military to reflect the democratic government,,
p20210201_20210207_0107,စိုက်ပျိုးရေးဆိုင်ရာ အဖြာဖြာ,,513448228776468,447670,2021-02-03 21:27:08 MMT,Link,3797,55,471,592,3,8,0,0,44,https://www.facebook.com/groups/513448228776468/permalink/3690366557751270,မြန်မာ့နိုင်ငံရေးအခြေအနေတွေကို တစ်ကမ္ဘာလုံးသိအောင် တောင်ကိုရီးယား ရုပ်သံကနေ တဆင့် ပြောကြားပေးလိုက်တဲ့ မြန်မာပြည်ဖွားဆရာမ(ရုပ်သံ),မြန်မာ့နိုင်ငံရေးအခြေအနေတွေကို တစ်ကမ္ဘာလုံးသိအောင် တောင်ကိုရီးယား ရုပ်သံကနေ တဆင့် ပြောကြားပေးလိုက်တဲ့ မြန်မာပြည်ဖွားဆရာမ(ရုပ်သံ),Myanmar Telecommunications Telecommunications through South Korean television,,
p20210201_20210207_0108,ခေတ်မီ စိုက်ပျိုးရေး နည်းပညာများ,,1174256049410432,93130,2021-02-05 05:31:49 MMT,Photo,742,31,230,22,0,5,6,0,3,https://www.facebook.com/groups/1174256049410432/permalink/1801547306681300,ညီအကိုတို့... 🔴မင်းတို့ ရုရှား မှာ တင့်ကားပြိုင် ပွဲ သွားတုန်း က ပစ်မှတ် လွဲတိုင်း ဟာခနဲ ဟင်ခနဲ ဝမ်းနည်း ပက်လက်ဖြစ်ခဲ့ရတာ ငါတို့ ပြည်သူတွေပါ။ 🔴မင်းတို့ ဖရီးဂိတ် တွေကိုယ်တိုင် တည်ဆောက်နိုင်နေပြီ ဆိုတာကြားသိရတော့ ဂုဏ်ယူမဆုံး ဖြစ်နေခဲ့ရတာငါတို့ ပြည်သူတွေပါ ။ မင်းတို့တွေ ရေငုပ်သင်္ဘော ရသွားပြီကြားတော့ ဝမ်းသာမဆုံး ဖြစ်ခဲ့ရတာ ငါတို့ ပြည်သူတွေပါ။ 🔴မင်းတို့တွေ အကောင်းစားတိုက်လေယာဉ် အသစ်တွေ ဝယ်နိုင် ခဲ့တုန်းက ရင်ထဲကြိတ်ပြီး ပျော်ရွှင်ခဲ့ရတာ ငါတို့ ပြည်သူတွေပါ။ 🟢မင်းတို့ရင်ဘက်ထဲမှာလဲ ငါတို့ပြည်သူတွေရှိနေမယ် လို့ မျှော်လင့်လျှက် လောက်ကိုင်မှာ ငါတို့ချစ်တဲ့စစ်သားတွေသေခဲ့ကြတုန်းက ငါတို့တွေ မင်းတို့နဲ့အတူ ရင်ကွဲဖူးတယ်..... ပြင်ဦးလွင်မှာ ရှော့တိုက်ဒုန်းတွေဆင်ပီး X-rayစက် အထိုင်စခန်းကို ဝင်ပစ်လို့ မင်းတို့တွေသေကြတော့လည်း ငါ့တို့ညီကိုတွေ သေကုန်ပီကွာလို့ ပြည်သူတွေကမင်းတို့အစား ရင်ထုမနာ အတူငိုကြွေးခဲ့ကြတယ်.... ရခိုင်ကို မင်းတို့ပြောင်းရမယ်ကြားတိုင်း ဘယ်ပြည်သူကမှ ဝမ်းမသာမိဘူး အစ်ကိုရယ်ဘေးကင်းပါစေ ညီရေဘေးကင်းပါစေ ညီကိုတို့အဆင်ပြေပါစေပဲ ဆုတောင်းပေးခဲ့ကြတယ်.. မင်းတို့ပစ်လိုက်မဲ့ပြောင်းက ကျည်ဆန်ဆိုတာ ညီကိုချင်းပစ်ဖို့အတွက်တော့ မဟုတ်ဘူးလို့ ငါတို့ပြည်သူတွေယုံထားတယ်.... ငါတို့ မင်းတို့ကိုချစ်တယ် မင်းတို့တွေ ဖက်လေးခင်းပီး စားပြနေတာမြင်ရရင် ငါတို့ ရင်ထုမနာဖြစ်ခဲ့ကြရတယ် မင်းတို့ ငှက်ပျောရည်သောက်နေတယ်ကြားရရင် ငါတို့သောက်နေတဲ့ရေသန့်ကို မျိုမကျခဲ့ဘူးကွာ... မင်းတို့တွေခုံမှာမထိုင်ရပဲ တိုက်နေသံကြားရင် ငါတို့တွေ မင်းတို့အတွက် အမြဲစိတ်ပူပေးခဲ့ကြတာကိုမှ သိကြပါလေစ... ပြောင်းသေနတ်ဟာ ငါတို့အတွက်မဟုတ်ဘူး မင်းတို့ကိုမေတ္တာပေးခဲ့ကြတဲ့ ပြည်သူအတွက်မဟုတ်ဘူး ပြည်သူကိုချစ်တတ်အောင် ကြိုးစားကြပါ ငါတို့တွေမင်းတို့ကို မမုန်းပါရစေနဲ့လား ညီနောင်တို့.... Crd,ညီအကိုတို့... 🔴မင်းတို့ ရုရှား မှာ တင့်ကားပြိုင် ပွဲ သွားတုန်း က ပစ်မှတ် လွဲတိုင်း ဟာခနဲ ဟင်ခနဲ ဝမ်းနည်း ပက်လက်ဖြစ်ခဲ့ရတာ ငါတို့ ပြည်သူတွေပါ။ 🔴မင်းတို့ ဖရီးဂိတ် တွေကိုယ်တိုင် တည်ဆောက်နိုင်နေပြီ ဆိုတာကြားသိရတော့ ဂုဏ်ယူမဆုံး ဖြစ်နေခဲ့ရတာငါတို့ ပြည်သူတွေပါ ။ မင်းတို့တွေ ရေငုပ်သင်္ဘော ရသွားပြီကြားတော့ ဝမ်းသာမဆုံး ဖြစ်ခဲ့ရတာ ငါတို့ ပြည်သူတွေပါ။ 🔴မင်းတို့တွေ အကောင်းစားတိုက်လေယာဉ် အသစ်တွေ ဝယ်နိုင် ခဲ့တုန်းက ရင်ထဲကြိတ်ပြီး ပျော်ရွှင်ခဲ့ရတာ ငါတို့ ပြည်သူတွေပါ။ 🟢မင်းတို့ရင်ဘက်ထဲမှာလဲ ငါတို့ပြည်သူတွေရှိနေမယ် လို့ မျှော်လင့်လျှက် လောက်ကိုင်မှာ ငါတို့ချစ်တဲ့စစ်သားတွေသေခဲ့ကြတုန်းက ငါတို့တွေ မင်းတို့နဲ့အတူ ရင်ကွဲဖူးတယ်..... ပြင်ဦးလွင်မှာ ရှော့တိုက်ဒုန်းတွေဆင်ပီး X-rayစက် အထိုင်စခန်းကို ဝင်ပစ်လို့ မင်းတို့တွေသေကြတော့လည်း ငါ့တို့ညီကိုတွေ သေကုန်ပီကွာလို့ ပြည်သူတွေကမင်းတို့အစား ရင်ထုမနာ အတူငိုကြွေးခဲ့ကြတယ်.... ရခိုင်ကို မင်းတို့ပြောင်းရမယ်ကြားတိုင်း ဘယ်ပြည်သူကမှ ဝမ်းမသာမိဘူး အစ်ကိုရယ်ဘေးကင်းပါစေ ညီရေဘေးကင်းပါစေ ညီကိုတို့အဆင်ပြေပါစေပဲ ဆုတောင်းပေးခဲ့ကြတယ်.. မင်းတို့ပစ်လိုက်မဲ့ပြောင်းက ကျည်ဆန်ဆိုတာ ညီကိုချင်းပစ်ဖို့အတွက်တော့ မဟုတ်ဘူးလို့ ငါတို့ပြည်သူတွေယုံထားတယ်.... ငါတို့ မင်းတို့ကိုချစ်တယ် မင်းတို့တွေ ဖက်လေးခင်းပီး စားပြနေတာမြင်ရရင် ငါတို့ ရင်ထုမနာဖြစ်ခဲ့ကြရတယ် မင်းတို့ ငှက်ပျောရည်သောက်နေတယ်ကြားရရင် ငါတို့သောက်နေတဲ့ရေသန့်ကို မျိုမကျခဲ့ဘူးကွာ... မင်းတို့တွေခုံမှာမထိုင်ရပဲ တိုက်နေသံကြားရင် ငါတို့တွေ မင်းတို့အတွက် အမြဲစိတ်ပူပေးခဲ့ကြတာကိုမှ သိကြပါလေစ... ပြောင်းသေနတ်ဟာ ငါတို့အတွက်မဟုတ်ဘူး မင်းတို့ကိုမေတ္တာပေးခဲ့ကြတဲ့ ပြည်သူအတွက်မဟုတ်ဘူး ပြည်သူကိုချစ်တတ်အောင် ကြိုးစားကြပါ ငါတို့တွေမင်းတို့ကို မမုန်းပါရစေနဲ့လား ညီနောင်တို့.... Crd,"Brothers, 🔴 The people of our people were sadly, when you were in the tank of the Tanner in Russia. 🔴 We have heard that you have been proud of being proud of your own fries. It was our people to hear that you had to hear a submarine. အချား People have grown in my heart when you have been able to buy new good fighter jets. 🟢မင်းတို့ရင်ဘက်ထဲမှာလဲ ငါတို့ပြည်သူတွေရှိနေမယ် လို့ မျှော်လင့်လျှက် လောက်ကိုင်မှာ ငါတို့ချစ်တဲ့စစ်သားတွေသေခဲ့ကြတုန်းက ငါတို့တွေ မင်းတို့နဲ့အတူ ရင်ကွဲဖူးတယ်..... ပြင်ဦးလွင်မှာ ရှော့တိုက်ဒုန်းတွေဆင်ပီး X-rayစက် အထိုင်စခန်းကို ဝင်ပစ်လို့ မင်းတို့တွေသေကြတော့လည်း ငါ့တို့ညီကိုတွေ သေကုန်ပီကွာလို့ ပြည်သူတွေကမင်းတို့အစား ရင်ထုမနာ အတူငိုကြွေးခဲ့ကြတယ်.... ရခိုင်ကို မင်းတို့ပြောင်းရမယ်ကြားတိုင်း ဘယ်ပြည်သူကမှ ဝမ်းမသာမိဘူး အစ်ကိုရယ်ဘေးကင်းပါစေ ညီရေဘေးကင်းပါစေ ညီကိုတို့အဆင်ပြေပါစေပဲ ဆုတောင်းပေးခဲ့ကြတယ်.. မင်းတို့ပစ်လိုက်မဲ့ပြောင်းက ကျည်ဆန်ဆိုတာ ညီကိုချင်းပစ်ဖို့အတွက်တော့ မဟုတ်ဘူးလို့ ငါတို့ပြည်သူတွေယုံထားတယ်.. I love you so much if you see that you are having a banan water, you don't have to swallow the water for you, but it is not for the people who have been in love for you. TRY Don't Had us Don't Hate You .... CRD",,
p20210201_20210207_0109,သရက္​နည္​းပညာ,,168318223779951,74132,2021-02-03 12:15:14 MMT,Status,1783,196,22,184,0,10,1,0,11,https://www.facebook.com/groups/168318223779951/permalink/815810619030705,အခုချိန်ကစပြီး ဂရုပရိုဖိုင်းပုံကို အချိန်အကန့်သတ်မရှိပြောင်းပါမယ် မကျေနပ်သောအသင်းဝင်များ ထွက်သွားနိုင်ပါတယ်... Admin ဦးအောင်(စိုက်/ငြိမ်း),အခုချိန်ကစပြီး ဂရုပရိုဖိုင်းပုံကို အချိန်အကန့်သတ်မရှိပြောင်းပါမယ် မကျေနပ်သောအသင်းဝင်များ ထွက်သွားနိုင်ပါတယ်... Admin ဦးအောင်(စိုက်/ငြိမ်း),"Since all the time, the public profile picture will be transferred to the time of the time. Admin U Aung (s)",,
